iter	Passed	Remaining
430	1655	2184
431	1659	2182
432	1662	2177
433	1665	2172
434	1669	2167
435	1672	2163
436	1676	2159
437	1679	2154
438	1682	2149
439	1685	2144
440	1687	2139
441	1691	2136
442	1694	2131
443	1698	2126
444	1701	2122
445	1705	2118
446	1709	2115
447	1713	2110
448	1716	2105
449	1719	2101
450	1726	2101
451	1731	2098
452	1734	2094
453	1739	2092
454	1742	2087
455	1745	2082
456	1748	2078
457	1752	2073
458	1756	2070
459	1759	2065
460	1762	2061
461	1766	2056
462	1769	2052
463	1773	2048
464	1778	2045
465	1781	2041
466	1784	2036
467	1788	2033
468	1792	2029
469	1795	2025
470	1798	2020
471	1803	2017
472	1807	2013
473	1811	2010
474	1814	2006
475	1819	2003
476	1823	1999
477	1827	1996
478	1831	1991
479	1836	1989
480	1841	1986
481	1844	1982
482	1848	1978
483	1852	1975
484	1856	1971
485	1859	1966
486	1862	1961
487	1865	1957
488	1871	1955
489	1874	1950
490	1877	1946
491	1880	1941
492	1885	1938
493	1887	1933
494	1890	1929
495	1893	1924
496	1896	1919
497	1901	1917
498	1905	1913
499	1909	1909
500	1913	1905
501	1920	1905
502	1924	1901
503	1928	1897
504	1939	1901
505	1942	1896
506	1945	1891
507	1950	1889
508	1954	1885
509	1957	1881
510	1960	1876
511	1966	1874
512	1970	1870
513	1975	1867
514	1979	1863
515	1983	1860
516	1986	1856
517	1989	1851
518	1993	1847
519	1996	1843
520	2001	1840
521	2005	1836
522	2008	1831
523	2011	1827
524	2016	1824
525	2019	1820
526	2024	1816
527	2027	1812
528	2031	1808
529	2035	1804
530	2038	1800
531	2041	1795
532	2044	1791
533	2049	1788
534	2052	1783
535	2055	1779
536	2058	1775
537	2061	1770
538	2066	1767
539	2069	1763
540	2073	1758
541	2076	1754
542	2081	1751
543	2084	1747
544	2087	1743
545	2091	1738
546	2094	1734
547	2099	1731
548	2103	1727
549	2106	1723
550	2109	1718
551	2113	1715
552	2116	1710
553	2120	1707
554	2123	1702
555	2128	1699
556	2135	1698
557	2138	1693
558	2141	1689
559	2146	1686
560	2149	1681
561	2152	1677
562	2155	1672
563	2159	1669
564	2163	1665
565	2166	1661
566	2169	1657
567	2173	1652
568	2177	1649
569	2180	1645
570	2183	1640
571	2187	1636
572	2190	1632
573	2194	1628
574	2198	1625
575	2202	1621
576	2205	1617
577	2209	1613
578	2212	1608
579	2216	1604
580	2219	1600
581	2225	1598
582	2228	1594
583	2231	1589
584	2234	1585
585	2238	1581
586	2244	1578
587	2251	1577
588	2255	1574
589	2261	1571
590	2264	1567
591	2267	1562
592	2270	1558
593	2275	1555
594	2279	1551
595	2282	1547
596	2285	1542
597	2288	1538
598	2293	1535
599	2296	1531
600	2300	1527
601	2304	1523
602	2310	1521
603	2314	1517
604	2317	1513
605	2324	1511
606	2328	1507
607	2331	1503
608	2334	1499
609	2339	1495
610	2344	1492
611	2347	1487
612	2349	1483
613	2352	1478
614	2357	1475
615	2359	1471
616	2362	1466
617	2365	1461
618	2367	1457
619	2371	1453
620	2374	1448
621	2376	1444
622	2379	1439
623	2381	1435
624	2384	1430
625	2388	1426
626	2391	1422
627	2393	1417
628	2396	1413
629	2399	1409
630	2406	1407
631	2410	1403
632	2413	1399
633	2415	1394
634	2420	1391
635	2423	1387
636	2426	1382
637	2430	1378
638	2433	1374
639	2438	1371
640	2441	1367
641	2444	1362
642	2446	1358
643	2449	1353
644	2453	1350
645	2456	1345
646	2458	1341
647	2461	1337
648	2464	1333
649	2469	1329
650	2472	1325
651	2475	1321
652	2478	1316
653	2481	1312
654	2484	1308
655	2487	1304
656	2490	1300
657	2492	1295
658	2495	1291
659	2498	1287
660	2502	1283
661	2506	1279
662	2510	1275
663	2512	1271
664	2515	1267
665	2519	1263
666	2522	1259
667	2525	1255
668	2528	1251
669	2533	1247
670	2536	1243
671	2539	1239
672	2541	1235
673	2544	1230
674	2547	1226
675	2551	1223
676	2555	1219
677	2563	1217
678	2571	1215
679	2577	1212
680	2583	1209
681	2588	1206
682	2591	1202
683	2595	1199
684	2600	1195
685	2603	1191
686	2606	1187
687	2610	1183
688	2615	1180
689	2618	1176
690	2622	1172
691	2626	1169
692	2631	1165
693	2638	1163
694	2641	1159
695	2644	1155
696	2651	1152
697	2654	1148
698	2657	1144
699	2660	1140
700	2665	1136
701	2667	1132
702	2670	1128
703	2674	1124
704	2676	1120
705	2681	1116
706	2684	1112
707	2687	1108
708	2690	1104
709	2693	1100
710	2698	1096
711	2700	1092
712	2703	1088
713	2705	1083
714	2708	1079
715	2713	1076
716	2715	1071
717	2718	1067
718	2721	1063
719	2723	1059
720	2726	1054
721	2729	1051
722	2732	1047
723	2735	1042
724	2738	1038
725	2741	1034
726	2744	1030
727	2748	1026
728	2751	1022
729	2754	1018
730	2756	1014
731	2761	1010
